[2026-05-20 09:44:03] Attack: Port Scan | Source IP: 10.0.0.66 | Action: BLOCKED | Details: Targeted too many unique ports in standard time window.
[2026-05-20 09:44:03] Attack: SYN Flood | Source IP: 10.0.0.77 | Action: BLOCKED | Details: Excessive TCP SYN connection requests captured.
[2026-05-20 09:44:03] Attack: ICMP Flood | Source IP: 10.0.0.88 | Action: BLOCKED | Details: High packet rate of ICMP Echo Request pings.
[2026-05-20 09:44:03] Attack: Brute Force | Source IP: 10.0.0.55 | Action: BLOCKED | Details: Excessive rapid connections targeting authentication port 22.
[2026-05-20 11:23:46] Attack: Port Scan | Source IP: 10.0.0.66 | Action: BLOCKED | Details: Targeted too many unique ports in standard time window.
[2026-05-20 11:23:46] Attack: SYN Flood | Source IP: 10.0.0.77 | Action: BLOCKED | Details: Excessive TCP SYN connection requests captured.
[2026-05-20 11:23:46] Attack: ICMP Flood | Source IP: 10.0.0.88 | Action: BLOCKED | Details: High packet rate of ICMP Echo Request pings.
[2026-05-20 11:23:46] Attack: Brute Force | Source IP: 10.0.0.55 | Action: BLOCKED | Details: Excessive rapid connections targeting authentication port 22.
[2026-05-20 11:24:33] Attack: Port Scan | Source IP: 10.0.0.66 | Action: BLOCKED | Details: Targeted too many unique ports in standard time window.
[2026-05-20 11:24:33] Attack: SYN Flood | Source IP: 10.0.0.77 | Action: BLOCKED | Details: Excessive TCP SYN connection requests captured.
[2026-05-20 11:24:33] Attack: ICMP Flood | Source IP: 10.0.0.88 | Action: BLOCKED | Details: High packet rate of ICMP Echo Request pings.
[2026-05-20 11:24:33] Attack: Brute Force | Source IP: 10.0.0.55 | Action: BLOCKED | Details: Excessive rapid connections targeting authentication port 22.
[2026-05-20 11:25:27] Attack: Port Scan | Source IP: 10.0.0.66 | Action: BLOCKED | Details: Targeted too many unique ports in standard time window.
[2026-05-20 11:25:27] Attack: SYN Flood | Source IP: 10.0.0.77 | Action: BLOCKED | Details: Excessive TCP SYN connection requests captured.
